web_scraper_order,web_scraper_start_url,pagination-selector,data,data2,founded
"1766562752-1","https://startup-algeria.com/","","Djazairia","Incubator","Founded:"
"1766562752-2","https://startup-algeria.com/","","Realverse App","Fintech","Founded:"
"1766562752-3","https://startup-algeria.com/","","ALPAY","Fintech","Founded:"
"1766562752-4","https://startup-algeria.com/","","SofizPay","Fintech","Founded:"
"1766562752-5","https://startup-algeria.com/","","CoCoding.ai","AI Dev Tool","Founded:"
"1766562752-6","https://startup-algeria.com/","","Tisura Labs","Data Security","Founded:"
"1766562752-7","https://startup-algeria.com/","","CAMIO","Logistics","Founded:"
"1766562752-8","https://startup-algeria.com/","","Okadoo","B2B Marketplace","Founded:"
"1766562752-9","https://startup-algeria.com/","","Spinet","Contact Management","Founded:"
"1766562752-10","https://startup-algeria.com/","","SignLingo","Sign Languages","Founded:"
"1766562752-11","https://startup-algeria.com/","","Fentech","Artificial Intelligence","Founded:"
"1766562752-12","https://startup-algeria.com/","","Garini","Parking Management","Founded:"
"1766562752-13","https://startup-algeria.com/","","LabLabee","Edtech","Founded:"
"1766562752-14","https://startup-algeria.com/","","UpGrowth","Consulting Social Media","Founded:"
"1766562752-15","https://startup-algeria.com/","","Basseer","ICT Solutions","Founded:"
"1766562752-16","https://startup-algeria.com/","","temtem","Fintech","Founded:"
"1766562752-17","https://startup-algeria.com/","","KABAS","Artificial Intelligence","Founded:"
"1766562752-18","https://startup-algeria.com/","","Wajeez","Food Delivery","Founded:"
"1766562752-19","https://startup-algeria.com/","","Namla","Cloud Computing","Founded:"
"1766562752-20","https://startup-algeria.com/","","Qareeb","AI Consulting","Founded:"
"1766562752-21","https://startup-algeria.com/","","BK FIRE","Public Safety","Founded:"
"1766562752-22","https://startup-algeria.com/","","Namlatic","Travel","Founded:"
"1766562752-23","https://startup-algeria.com/","","Yassir","Transportation","Founded:"
"1766562752-24","https://startup-algeria.com/","","Ouedkniss","Classified Ads","Founded:"
"1766562752-25","https://startup-algeria.com/","","Goubba","Fintech","Founded:"
"1766562752-26","https://startup-algeria.com/","","Prizy","Fintech","Founded:"
"1766562752-27","https://startup-algeria.com/","","Emploitic","Human Resources","Founded:"
"1766562752-28","https://startup-algeria.com/","","DZDOC","Healthcare","Founded:"
"1766562752-29","https://startup-algeria.com/","","Legal Doctrine","LegalTech","Founded:"
"1766562752-30","https://startup-algeria.com/","","Maystro Delivery","Logistics","Founded:"
"1766562752-31","https://startup-algeria.com/","","9acima","Consumer Services","Founded:"
"1766562752-32","https://startup-algeria.com/","","e-Tabib","Healthcare","Founded:"
"1766562752-33","https://startup-algeria.com/","","Amentech","Insurtech","Founded:"
"1766562752-34","https://startup-algeria.com/","","HexaFlex","Software Development","Founded:"
"1766562752-35","https://startup-algeria.com/","","SlickPay","Fintech","Founded:"
"1766562752-36","https://startup-algeria.com/","","Volz","Travel","Founded:"
"1766562752-37","https://startup-algeria.com/","","Fridoc","Document Management","Founded:"
"1766562752-38","https://startup-algeria.com/","","Optos","Logistics","Founded:"
"1766562752-39","https://startup-algeria.com/","","Vandista.dz","E-Commerce","Founded:"
"1766562752-40","https://startup-algeria.com/","","TalabaStore","E-Commerce","Founded:"
"1766562752-41","https://startup-algeria.com/","","Simpacte","Greentech","Founded:"
"1766562752-42","https://startup-algeria.com/","","Immotify","Real Estate","Founded:"
"1766562752-43","https://startup-algeria.com/","","Pratic Power","IoT","Founded:"
"1766562752-44","https://startup-algeria.com/","","Yinvesti","Crowdfunding","Founded:"
"1766562752-45","https://startup-algeria.com/","","Fast Delivery","Food Delivery","Founded:"
"1766562752-46","https://startup-algeria.com/","","Talenteo HR","Human Resources","Founded:"
